"Institution ID","Institution","Uniform Number","Last Name","First Name","Position","Year","Player ID"
/usr/local/tomcat/app_data/d1mfb/2008/Internet/rosters/DIVISIONB.txt
"721","Air Force","11","Robinson","Jaquon","WR","FR","193722"
"721","Air Force","12","Cochran","Ben","QB","SO","193693"
"721","Air Force","13","Harrison","Ryan","K","SR","130160"
"721","Air Force","14","Smith","Shea","QB","SR","130161"
"721","Air Force","15","Warzeka","Johnathan","WR","FR","193733"
"721","Air Force","16","Davis","Jon","DB","FR","130171"
"721","Air Force","17","Clark","Asher","QB","FR","193691"
"721","Air Force","18","Battle","Elliott","DB","SO","193686"
"721","Air Force","19","Paffett","Ty","WR","SR","83751"
"721","Air Force","19","Team","","","","66680"
"721","Air Force","2","Stephens","Savier","RB","SO","193729"
"721","Air Force","20","Weatheroy","Paul","RB","FR","193734"
"721","Air Force","21","Atrice","Stephan","DB","SO","193683"
"721","Air Force","22","Byrd-Fulbright","Brenton","DB","JR","193657"
"721","Air Force","23","Kirchoff","Aaron","DB","SR","130164"
"721","Air Force","24","Ofili","Phillip","DB","FR","193718"
"721","Air Force","25","Newell","Todd","RB","SR","83748"
"721","Air Force","26","Armstrong","Spencer","WR","SR","130186"
"721","Air Force","27","Wilke","Chase","RB","SO","193736"
"721","Air Force","28","Lumpkin","Kyle","RB","SO","193710"
"721","Air Force","29","Ford","Devon","RB","JR","193661"
"721","Air Force","3","Skene","Brett","WR","SO","193727"
"721","Air Force","30","Yeager","Luke","DB","SR","169832"
"721","Air Force","31","Lugo","Francisco","RB","SO","193709"
"721","Air Force","32","Altman","Hunter","LB","SR","130168"
"721","Air Force","33","Adeji-Paul","P.J.","DB","FR","193680"
"721","Air Force","34","Thomas","Chris","DB","JR","130316"
"721","Air Force","35","Rosenthal","Marcus","DB","SO","193739"
"721","Air Force","35","Hainebach","Blaine","LB","JR","193664"
"721","Air Force","36","Morris, Jr.","Andre","LB","SO","193676"
"721","Air Force","37","Keuchler","Will","LB","SO","193703"
"721","Air Force","38","Curry","Ryan","DB","SO","193695"
"721","Air Force","39","Walker","Nathan","RB","SO","193731"
"721","Air Force","4","Halderman","Kyle","WR","SO","193701"
"721","Air Force","40","Southworth","Ryan","RB","SO","193728"
"721","Air Force","41","Rother","Matt","LB","SO","193723"
"721","Air Force","42","Tew","Jared","RB","SO","193730"
"721","Air Force","43","Moore","Justin","LB","JR","169835"
"721","Air Force","44","Hennessey","Patrick","LB","SO","193738"
"721","Air Force","45","Falgout","John","LB","JR","169810"
"721","Air Force","46","Satterfield","Brett","LB","SO","193724"
"721","Air Force","47","Lamendola","Ken","LB","SO","193708"
"721","Air Force","48","Reeves","Brandon","LB","SR","130174"
"721","Air Force","49","Konemann","Caleb","LB","FR","193740"
"721","Air Force","4A","DeBois","Peter","RB","SO","193706"
"721","Air Force","5","Wright","Anthony","DB","FR","193737"
"721","Air Force","50","Howley","Scott","OL","SR","169822"
"721","Air Force","51","Morales","Myles","DL","JR","169841"
"721","Air Force","52","Newell","Stephen","LB","SO","193716"
"721","Air Force","53","Gurnell","Braylon","LB","SO","193700"
"721","Air Force","55","Bryant","Clay","LB","JR","169804"
"721","Air Force","56","Marvin","Jared","DL","SR","131373"
"721","Air Force","57","Charles","Nick","OL","JR","131584"
"721","Air Force","58","Amack","Brady","LB","FR","232826"
"721","Air Force","59","Gonzales","Ryan","OL","JR","131234"
"721","Air Force","6","Rivers","Kevin","DB","SR","130166"
"721","Air Force","60","Campbell","Chris","OL","JR","169806"
"721","Air Force","61","Schonsheck","Tyler","OL","SO","193726"
"721","Air Force","62","Lusk","Peter","OL","JR","169827"
"721","Air Force","63","Pipes","Andrew","OL","SR","130180"
"721","Air Force","64","Epstein","Evan","OL","FR","193698"
"721","Air Force","65","Hampton","Michael","OL","JR","169816"
"721","Air Force","66","Morgan","Jacob","OL","SO","193714"
"721","Air Force","67","Campbell","Dan","OL","SO","193689"
"721","Air Force","68","Coates","Matthew","OL","SO","193692"
"721","Air Force","69","Barr","Anthony","OL","SO","193684"
"721","Air Force","7","Jefferson","Tim","QB","FR","193702"
"721","Air Force","70","Markling","Matt","OL","SO","193711"
"721","Air Force","71","Brown","Ben","OL","SO","193688"
"721","Air Force","72","Morosco","A.J.","DL","SO","193715"
"721","Air Force","73","Wallerstein","A.J.","OL","FR","193732"
"721","Air Force","74","Darden","Chase","DL","SO","193704"
"721","Air Force","75","Sherwood","Blake","DL","SO","193725"
"721","Air Force","76","Larson","Stephen","DL","JR","169825"
"721","Air Force","77","Marshall","Ben","OL","SO","193712"
"721","Air Force","78","Dallas","Tyler","DL","SO","193696"
"721","Air Force","79","Williams","Keith","OL","SR","130183"
"721","Air Force","7A","Ashley","Jonathon","DB","FR","193681"
"721","Air Force","7B","Herbort","Eric","QB","JR","169820"
"721","Air Force","8","Rembert","Reggie","DB","SO","169845"
"721","Air Force","80","Hemphill","Anthony","WR","JR","131478"
"721","Air Force","81","Quintana","Sean","WR","JR","169837"
"721","Air Force","82","Demerath","Chaz","TE","SO","193697"
"721","Air Force","83","Fogler","Kevin","WR","SO","193699"
"721","Air Force","84","Pickett","Daniel","TE","FR","193720"
"721","Air Force","85","Madsen","Keith","TE","SR","130188"
"721","Air Force","86","Carlson","Nate","WR","SO","193690"
"721","Air Force","87","Cousins","Josh","WR","JR","169808"
"721","Air Force","88","Dekker","Travis","TE","SR","83734"
"721","Air Force","89","Connor","Bradley","DL","SO","193694"
"721","Air Force","9","Hyder","Luke","WR","JR","169823"
"721","Air Force","90","Ricketts","Rick","DL","SO","193721"
"721","Air Force","91","Kemp","Ryan","DL","SR","130189"
"721","Air Force","92","Wikstrom","Wylie","DL","SO","193735"
"721","Air Force","93","Garland","Ben","DL","JR","169813"
"721","Air Force","94","Bell","Zack","K","SO","193687"
"721","Air Force","95","Paulson","Jake","DL","SR","130192"
"721","Air Force","96","Arndt","Alexander","DL","SO","193682"
"721","Air Force","97","Bartholomew","Keil","P","SO","193685"
"721","Air Force","98","Geyer","Brandon","P","JR","169814"
"721","Air Force","99","Soderberg","Erik","PK","FR","232827"
"721","Air Force","99","McAngus","Will","WR","SO","193713"
"5","Akron","1","Anderson","Brandon","DB","SR","85457"
"5","Akron","10","Allen","Alex","RB","JR","85455"
"5","Akron","11","Jacquemain","Chris","QB","JR","85471"
"5","Akron","12","Bruce","Jeremy","WR","JR","184502"
"5","Akron","13","Shead","Shane","DL","FR","163618"
"5","Akron","14","Thomas","Miller","RB","FR","184503"
"5","Akron","15","Flaherty","Brian","TE","SR","72960"
"5","Akron","16","Hildreth","Andy","P","SR","72965"
"5","Akron","17","Williams","Brandon","WR","SR","72964"
"5","Akron","18","Logan","Drew","WR","FR","184504"
"5","Akron","19","Barnes","Dante","DB","SO","163590"
"5","Akron","19","Team","","","","66540"
"5","Akron","1A","Bowser","Deryn","WR","JR","184494"
"5","Akron","1G","Graham","Miguel","DB","SR","163600"
"5","Akron","1M","Miller","Jordan","QB","FR","184495"
"5","Akron","1S","Shuford","Norman","DB","FR","184496"
"5","Akron","2","Carter","Jalil","DB","SO","163595"
"5","Akron","20","Thomas","Mike","LB","SO","184505"
"5","Akron","21","Jones","Andre","WR","SR","120717"
"5","Akron","22","Moore","Da-Von","DB","FR","184506"
"5","Akron","23","Fobbs","Sean","LB","SO","163599"
"5","Akron","24","Williams","Bryan","DB","SR","163627"
"5","Akron","25","Williams","Aaron","LB","FR","184507"
"5","Akron","26","Davis","Kevin","DB","JR","184508"
"5","Akron","27","Cobham","Wayne","DB","JR","120710"
"5","Akron","28","Kabir","Amin","DB","JR","120701"
"5","Akron","2A","Wackerly","Jared","QB","FR","184497"
"5","Akron","3","Kennedy","Dennis","RB","SR","72963"
"5","Akron","30","Grant","Kevin","LB","SR","72942"
"5","Akron","31","Gilmer","Troy","LB","FR","184509"
"5","Akron","32","Tuzze","Joe","RB","JR","85491"
"5","Akron","33","Richmond","Josh","DB","FR","184510"
"5","Akron","34","Wagner","Brian","LB","FR","184511"
"5","Akron","35","McMillion","Bryant","RB","JR","85477"
"5","Akron","36","Province","Jared","DB","FR","184512"
"5","Akron","37","Rogovic","Branko","K","SO","184513"
"5","Akron","38","Stec","John","P","JR","120705"
"5","Akron","4","Torrence","DeVoe","RB","FR","184498"
"5","Akron","40","Laube","Evan","DB","JR","85474"
"5","Akron","41","Morefield","LeVon","DB","SO","120724"
"5","Akron","42","Harmon","Matt","RB","JR","163601"
"5","Akron","43","Dawson","Larry","RB","FR","184515"
"5","Akron","44","Siler","Ray","LB","SR","85488"
"5","Akron","45","Iveljic","Igor","K","SO","184458"
"5","Akron","46","Byrd","Marvase","DB","FR","184517"
"5","Akron","47","Balaam","Al-Teric","LB","JR","85459"
"5","Akron","48","Campbell","Tyler","DB","SO","163593"
"5","Akron","49","Little","Matt","LB","FR","163605"
"5","Akron","4A","Taggart","Michael","LB","SR","184491"
"5","Akron","4B","Rash","Joe","DL","FR","163613"
"5","Akron","5","Rodgers","Matt","QB","FR","163614"
"5","Akron","51","Bates","Elliott","OL","JR","85461"
"5","Akron","52","Davis","Marquinn","DL","FR","163596"
"5","Akron","53","Ronsman","Dan","DL","FR","163615"
"5","Akron","54","Williams","Doug","LB","SR","72954"
"5","Akron","56","Sewell","Almondo","DL","SO","163617"
"5","Akron","57","Schuler","Nate","LB","FR","184518"
"5","Akron","58","Greenwood","Brady","LB","FR","184519"
"5","Akron","6","Brown","Curtis","WR","FR","120718"
"5","Akron","60","Marcoux","Dan","DL","FR","163606"
"5","Akron","61","Straight","Mitch","OL","FR","184520"
"5","Akron","62","Hamburg","Aaron","OL","FR","184521"
"5","Akron","64","Burk","Zach","OL","FR","163592"
"5","Akron","65","Bice","Adam","DL","FR","184522"
"5","Akron","66","McCarthy","Sean","OL","FR","184523"
"5","Akron","67","Odofin","Deni","DL","SO","163609"
"5","Akron","68","Colosimo","Andrew","OL","FR","184524"
"5","Akron","69","Estrada","Casey","OL","JR","163597"
"5","Akron","6A","Waller","Manley","DB","FR","184499"
"5","Akron","7","Johnson","Andrew","RB","SR","184500"
"5","Akron","70","Simkovich","Paul","OL","FR","163619"
"5","Akron","71","Ward","Mike","OL","SO","120706"
"5","Akron","72","Kasparek","Zac","OL","FR","163603"
"5","Akron","73","Anderson","Jake","OL","FR","163589"
"5","Akron","74","Kemme","Chris","OL","SR","85472"
"5","Akron","75","Woods","Corey","OL","SO","120707"
"5","Akron","76","Gibbons","Ryan","DL","JR","184525"
"5","Akron","77","Huebner","Keith","OL","JR","85468"
"5","Akron","78","Anderson","Zack","OL","JR","85458"
"5","Akron","79","Sekinger","Jason","OL","SO","120722"
"5","Akron","8","Cruz","Jose","TE","SO","120711"
"5","Akron","80","Brown","Nadir","WR","FR","184526"
"5","Akron","81","Owen","Alphonso","WR","SR","163610"
"5","Akron","82","Rajek","Viktor","LB","SO","120728"
"5","Akron","83","Poindexter","Merce","TE","SR","85483"
"5","Akron","84","Ladrach","Rhyne","TE","FR","184527"
"5","Akron","86","Royal","Jerome","WR","FR","163616"
"5","Akron","87","Sandilands","Richard","WR","SO","120721"
"5","Akron","88","Miller","Dashan","WR","JR","184528"
"5","Akron","8A","Campbell","Zack","P","FR","163594"
"5","Akron","9","Pride","Gary","WR","FR","163612"
"5","Akron","90","Smith","Blake","DL","FR","163620"
"5","Akron","91","Pendleton","Wallace","DL","JR","85482"
"5","Akron","92","Bain","Ryan","DL","JR","184529"
"5","Akron","93","Lively","Eric","DL","SR","85476"
"5","Akron","94","Lemon","Shawn","DL","SO","163604"
"5","Akron","95","Maynard","Chad","DL","FR","184530"
"5","Akron","96","Hazime","Hasan","DL","FR","184531"
"5","Akron","97","Harvey","James","DL","FR","184532"
"5","Akron","98","Legger","Nick","DL","SR","120723"
"5","Akron","99","Stewart","Cowles","DL","FR","163621"
"5","Akron","9A","Richardson","Doug","DB","SO","184501"
"8","Alabama","1","Scott","B.J.","WR","FR","184779"
"8","Alabama","10","Ogilvie","Morgan","QB","FR","184785"
"8","Alabama","11","Gibson","Brandon","WR","SO","163879"
"8","Alabama","12","McElroy","Greg","QB","SO","120924"
"8","Alabama","13","Reamer","Cory","DB","JR","84901"
"8","Alabama","13","Ezell","Robert","QB","FR","184786"
"8","Alabama","14","Wilson","John Parker","QB","SR","84902"
"8","Alabama","15","Hanks","Darius","WR","SO","163881"
"8","Alabama","15","Lawrence","Alonzo","DB","FR","184787"
"8","Alabama","16","Darrah","Thomas","QB","SO","163899"
"8","Alabama","17","Smelley","Brad","TE","FR","184788"
"8","Alabama","18","Fanuzzi","Nick","QB","SO","163877"
"8","Alabama","19","Jackson","Chris","WR","FR","184789"
"8","Alabama","19","Team","","","","66543"
"8","Alabama","19","Applegate","Ross","QB","SO","163898"
"8","Alabama","1F","Washington","Lorenzo","DL","JR","120976"
"8","Alabama","1H","Chapman","Josh","DL","SO","163872"
"8","Alabama","2","Jackson","Star","QB","FR","184780"
"8","Alabama","20","King","Tyrone","DB","JR","163885"
"8","Alabama","21","Hall","Prince","LB","JR","120925"
"8","Alabama","22","Ingram","Mark","RB","FR","184790"
"8","Alabama","23","Green","Robby","DB","FR","184791"
"8","Alabama","24","Johnson","Marquis","DB","JR","120927"
"8","Alabama","25","McClain","Rolando","LB","SO","163888"
"8","Alabama","26","Sharrief","Ali","DB","JR","120928"
"8","Alabama","27","Woodall","Justin","DB","JR","120929"
"8","Alabama","28","Arenas","Javier","DB","JR","120930"
"8","Alabama","29","Grant","Terry","RB","SO","120916"
"8","Alabama","3","Jackson","Kareem","DB","SO","163884"
"8","Alabama","30","Hightower","Don'ta","LB","FR","184799"
"8","Alabama","30","Lowe","Jonathan","WR","SR","163897"
"8","Alabama","30","Hanrahan","Patrick","RB","JR","163882"
"8","Alabama","31","Matchett","Ivan","RB","FR","184792"
"8","Alabama","32","Anders","Eryk","LB","JR","120934"
"8","Alabama","33","Gray","Hampton","DB","SO","184793"
